levels,buy,sell,trail_pct,leverage,trades,win_rate,final_eur,return_pct,max_dd,blown,stoch_exits,trail_exits
20/80,20,80,14.5,10,11,72.7,0.0,-100.0,100.0,True,8,3
20/80,20,80,15.0,10,11,72.7,0.0,-100.0,100.0,True,8,3
30/60,30,60,,10,2,0.0,0.0,-100.0,100.0,True,1,0
30/60,30,60,1.0,10,49,87.8,2495614.59,249461.5,5.5,False,0,49
30/60,30,60,1.5,10,49,73.5,272249.9,27125.0,16.2,False,0,49
30/60,30,60,2.0,10,49,63.3,57177.37,5617.7,28.3,False,0,49
30/60,30,60,2.5,10,49,61.2,13476.19,1247.6,45.7,False,1,48
30/60,30,60,3.0,10,49,49.0,1621.94,62.2,59.6,False,1,48
30/60,30,60,3.5,10,49,49.0,725.34,-27.5,77.3,False,2,47
30/60,30,60,4.0,10,49,44.9,348.66,-65.1,89.2,False,4,45
30/60,30,60,4.5,10,48,47.9,198.69,-80.1,95.0,False,5,43
30/60,30,60,5.0,10,47,44.7,53.0,-94.7,95.6,False,6,41
30/60,30,60,5.5,10,47,38.3,6.27,-99.4,99.4,False,7,40
30/60,30,60,6.0,10,46,34.8,2.44,-99.8,99.9,False,8,38
30/60,30,60,6.5,10,45,33.3,1.11,-99.9,99.9,False,10,35
30/60,30,60,7.0,10,43,39.5,5.08,-99.5,99.8,False,15,28
30/60,30,60,7.5,10,43,41.9,2.44,-99.8,99.9,False,17,26
30/60,30,60,8.0,10,43,46.5,1.2,-99.9,99.9,False,19,24
30/60,30,60,8.5,10,43,51.2,0.51,-99.9,100.0,False,20,23
30/60,30,60,9.0,10,43,53.5,0.07,-100.0,100.0,False,21,22
30/60,30,60,9.5,10,43,55.8,0.04,-100.0,100.0,False,23,20
30/60,30,60,10.0,10,43,55.8,0.02,-100.0,100.0,False,26,17
30/60,30,60,10.5,10,43,55.8,0.0,-100.0,100.0,False,27,16
30/60,30,60,11.0,10,41,58.5,0.0,-100.0,100.0,True,27,14
30/60,30,60,11.5,10,8,62.5,0.0,-100.0,100.0,True,6,2
30/60,30,60,12.0,10,2,0.0,0.0,-100.0,100.0,True,1,1
30/60,30,60,12.5,10,2,0.0,0.0,-100.0,100.0,True,1,1
30/60,30,60,13.0,10,2,0.0,0.0,-100.0,100.0,True,1,1
30/60,30,60,13.5,10,2,0.0,0.0,-100.0,100.0,True,1,1
30/60,30,60,14.0,10,2,0.0,0.0,-100.0,100.0,True,1,0
30/60,30,60,14.5,10,2,0.0,0.0,-100.0,100.0,True,1,0
30/60,30,60,15.0,10,2,0.0,0.0,-100.0,100.0,True,1,0
